Fold,Classifier,Accuracy,Precision,Recall,Specificity,F1-Score,AUC,MCC
fold_1,SVM,0.7428571428571429,0.6134259259259259,0.625,0.8214285714285714,0.6181818181818182,0.6441326530612246,0.2381448361039201
fold_1,Decision Tree,0.6714285714285714,0.5,0.5,0.7857142857142857,0.49984467225846535,0.49999999999999994,0.0
fold_1,KNN,0.38571428571428573,0.48704902867715083,0.4821428571428572,0.32142857142857145,0.37538908487238015,0.5886479591836735,-0.030414953233623674
fold_2,SVM,0.7272727272727273,0.54375,0.5754310344827587,0.7758620689655172,0.5416666666666667,0.6875,0.11489312875225723
fold_2,Decision Tree,0.7424242424242424,0.5509803921568628,0.584051724137931,0.7931034482758621,0.5524531312325489,0.5840517241379312,0.13091966785799863
fold_2,KNN,0.3333333333333333,0.47934782608695653,0.45905172413793105,0.29310344827586204,0.3105413105413105,0.46228448275862066,-0.058160842997423225
fold_3,SVM,0.859375,0.7684766214177978,0.7852564102564102,0.9038461538461539,0.7763106796116506,0.8333333333333333,0.5534787340572728
fold_3,Decision Tree,0.734375,0.5952380952380952,0.6121794871794872,0.8076923076923077,0.601026769343601,0.6121794871794872,0.20672455764868078
fold_3,KNN,0.40625,0.5043290043290043,0.5064102564102564,0.34615384615384615,0.3913913913913914,0.5536858974358975,0.010535659020683567
fold_4,SVM,0.7096774193548387,0.5997552019583843,0.6452762923351159,0.7450980392156863,0.6042553191489362,0.7005347593582888,0.24076599329352777
fold_4,Decision Tree,0.6451612903225806,0.4709219858156028,0.4634581105169341,0.7450980392156863,0.46467817896389324,0.4634581105169341,-0.06519403594542265
fold_4,KNN,0.3387096774193548,0.5583333333333333,0.5623885918003565,0.21568627450980393,0.3385376008326828,0.45989304812834225,0.12065379433217113
fold_5,SVM,0.7727272727272727,0.7386363636363636,0.7444444444444445,0.8222222222222222,0.7413117324274889,0.771957671957672,0.48304589153964794
fold_5,Decision Tree,0.6363636363636364,0.5529411764705883,0.5428571428571429,0.8,0.5416666666666666,0.5428571428571428,0.09526610232449337
fold_5,KNN,0.48484848484848486,0.5587301587301587,0.5587301587301587,0.35555555555555557,0.48484848484848486,0.5962962962962962,0.11746031746031746
Average,SVM,0.7623819124423964,0.6528088225876943,0.6750816363037458,0.8136914111356301,0.6563452432073121,0.7274916835421037,0.32606571674932516
Average,Decision Tree,0.6859505481078061,0.5340163299362297,0.540509292938299,0.7863216161796283,0.531933883693035,0.540509292938299,0.07354325837715
Average,KNN,0.3897711562630918,0.5175578702313206,0.513744717644312,0.30638553918472783,0.38014157449724995,0.532161536760566,0.032014794916425046
